PNL = 9577.39 Max. Drawdown = 394.93 Parameters = {'slow_ma_period': 450, 'fast_ma_period': 25, 'atr_period': 2000, 'takeprofit': 4.7, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.010896103030391492
PNL = 11092.74 Max. Drawdown = 599.65 Parameters = {'slow_ma_period': 932, 'fast_ma_period': 3, 'atr_period': 185, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.010800654134852693
PNL = 4833.04 Max. Drawdown = 175.17 Parameters = {'slow_ma_period': 1472, 'fast_ma_period': 1, 'atr_period': 164, 'takeprofit': 3.46, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.010785132747634783
PNL = 9607.98 Max. Drawdown = 396.4 Parameters = {'slow_ma_period': 450, 'fast_ma_period': 17, 'atr_period': 2000, 'takeprofit': 4.68, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.01073774495973446
PNL = 3489.01 Max. Drawdown = 154.63 Parameters = {'slow_ma_period': 967, 'fast_ma_period': 21, 'atr_period': 1814, 'takeprofit': 2.01, 'stoploss': 2.01} Rank = 0 Crowding Distance = 0.010710100721089395
PNL = 7162.64 Max. Drawdown = 252.92 Parameters = {'slow_ma_period': 1841, 'fast_ma_period': 1, 'atr_period': 128, 'takeprofit': 3.46, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.010652529410269933
PNL = 11328.31 Max. Drawdown = 613.17 Parameters = {'slow_ma_period': 942, 'fast_ma_period': 3, 'atr_period': 182, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.010587633731177323
PNL = 4003.48 Max. Drawdown = 171.13 Parameters = {'slow_ma_period': 1096, 'fast_ma_period': 29, 'atr_period': 1901, 'takeprofit': 2.11, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.01056049360414675
PNL = 3616.55 Max. Drawdown = 155.56 Parameters = {'slow_ma_period': 919, 'fast_ma_period': 20, 'atr_period': 1814, 'takeprofit': 2.11, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.010529783707425995
PNL = 10757.32 Max. Drawdown = 581.76 Parameters = {'slow_ma_period': 925, 'fast_ma_period': 5, 'atr_period': 184, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.010509658480522887
PNL = 11318.05 Max. Drawdown = 611.83 Parameters = {'slow_ma_period': 936, 'fast_ma_period': 2, 'atr_period': 185, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.010261465891015481
PNL = 9916.95 Max. Drawdown = 412.95 Parameters = {'slow_ma_period': 2000, 'fast_ma_period': 73, 'atr_period': 2000, 'takeprofit': 4.34, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.010221218221011175
PNL = 10941.79 Max. Drawdown = 591.99 Parameters = {'slow_ma_period': 934, 'fast_ma_period': 5, 'atr_period': 183, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.010216564384790915
PNL = 10916.37 Max. Drawdown = 590.61 Parameters = {'slow_ma_period': 919, 'fast_ma_period': 1, 'atr_period': 183, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.009998586132464314
PNL = 8359.29 Max. Drawdown = 342.66 Parameters = {'slow_ma_period': 1602, 'fast_ma_period': 10, 'atr_period': 310, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.009870923905683495
PNL = 10976.83 Max. Drawdown = 593.38 Parameters = {'slow_ma_period': 942, 'fast_ma_period': 2, 'atr_period': 185, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.00985956476406875
PNL = 11113.39 Max. Drawdown = 601.53 Parameters = {'slow_ma_period': 941, 'fast_ma_period': 3, 'atr_period': 182, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.009822930631680288
PNL = 3690.41 Max. Drawdown = 158.73 Parameters = {'slow_ma_period': 967, 'fast_ma_period': 18, 'atr_period': 1814, 'takeprofit': 2.11, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.009379468972271238
PNL = 9379.9 Max. Drawdown = 386.99 Parameters = {'slow_ma_period': 2000, 'fast_ma_period': 73, 'atr_period': 2000, 'takeprofit': 4.68, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.009341692446105967
PNL = 9609.05 Max. Drawdown = 396.45 Parameters = {'slow_ma_period': 456, 'fast_ma_period': 17, 'atr_period': 2000, 'takeprofit': 4.68, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.009057151259136285
PNL = 9634.34 Max. Drawdown = 397.82 Parameters = {'slow_ma_period': 400, 'fast_ma_period': 64, 'atr_period': 2000, 'takeprofit': 4.65, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.009057151259136285
PNL = 9728.22 Max. Drawdown = 401.37 Parameters = {'slow_ma_period': 450, 'fast_ma_period': 25, 'atr_period': 2000, 'takeprofit': 4.68, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.008818639916794505
PNL = 3654.13 Max. Drawdown = 157.66 Parameters = {'slow_ma_period': 919, 'fast_ma_period': 16, 'atr_period': 1824, 'takeprofit': 2.05, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.008671738001521295
PNL = 9751.13 Max. Drawdown = 402.64 Parameters = {'slow_ma_period': 450, 'fast_ma_period': 17, 'atr_period': 2000, 'takeprofit': 4.65, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.00865961835666885
PNL = 9752.22 Max. Drawdown = 402.68 Parameters = {'slow_ma_period': 400, 'fast_ma_period': 73, 'atr_period': 2000, 'takeprofit': 4.65, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.008522581811447787
PNL = 10409.31 Max. Drawdown = 562.7 Parameters = {'slow_ma_period': 919, 'fast_ma_period': 8, 'atr_period': 185, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.008426663676293114
PNL = 7037.38 Max. Drawdown = 248.5 Parameters = {'slow_ma_period': 1008, 'fast_ma_period': 3, 'atr_period': 128, 'takeprofit': 3.46, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.008387901044846517
PNL = 9683.94 Max. Drawdown = 399.46 Parameters = {'slow_ma_period': 450, 'fast_ma_period': 17, 'atr_period': 1999, 'takeprofit': 4.69, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.008178778377566967
PNL = 9782.29 Max. Drawdown = 403.49 Parameters = {'slow_ma_period': 400, 'fast_ma_period': 86, 'atr_period': 2000, 'takeprofit': 4.69, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.008174995082071626
PNL = 10561.03 Max. Drawdown = 571.15 Parameters = {'slow_ma_period': 924, 'fast_ma_period': 5, 'atr_period': 184, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.007923763718167012
PNL = 8464.46 Max. Drawdown = 346.97 Parameters = {'slow_ma_period': 1602, 'fast_ma_period': 11, 'atr_period': 310, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.007917370663056448
PNL = 10304.6 Max. Drawdown = 557.28 Parameters = {'slow_ma_period': 1118, 'fast_ma_period': 9, 'atr_period': 184, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.007852563444818994
PNL = 7313.38 Max. Drawdown = 272.76 Parameters = {'slow_ma_period': 1111, 'fast_ma_period': 1, 'atr_period': 185, 'takeprofit': 3.63, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.0077385865897066945
PNL = 7854.85 Max. Drawdown = 315.47 Parameters = {'slow_ma_period': 1032, 'fast_ma_period': 4, 'atr_period': 291, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.007626143435395568
PNL = 9707.1 Max. Drawdown = 400.49 Parameters = {'slow_ma_period': 450, 'fast_ma_period': 36, 'atr_period': 2000, 'takeprofit': 4.68, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.007611750543065289
PNL = 7730.15 Max. Drawdown = 310.46 Parameters = {'slow_ma_period': 1180, 'fast_ma_period': 268, 'atr_period': 291, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.0075949574394111
PNL = 7938.81 Max. Drawdown = 318.0 Parameters = {'slow_ma_period': 1616, 'fast_ma_period': 20, 'atr_period': 286, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.007540178872309691
PNL = 3638.02 Max. Drawdown = 157.1 Parameters = {'slow_ma_period': 979, 'fast_ma_period': 27, 'atr_period': 1757, 'takeprofit': 2.11, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.007530875600933372
PNL = 7672.03 Max. Drawdown = 307.31 Parameters = {'slow_ma_period': 1383, 'fast_ma_period': 12, 'atr_period': 286, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.00748626122345844
PNL = 9192.82 Max. Drawdown = 378.15 Parameters = {'slow_ma_period': 1927, 'fast_ma_period': 3, 'atr_period': 2000, 'takeprofit': 4.79, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.007426079199475032
PNL = 11340.7 Max. Drawdown = 613.84 Parameters = {'slow_ma_period': 939, 'fast_ma_period': 3, 'atr_period': 182, 'takeprofit': 5.83, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.0071580756370112145
PNL = 7061.32 Max. Drawdown = 249.34 Parameters = {'slow_ma_period': 1008, 'fast_ma_period': 1, 'atr_period': 128, 'takeprofit': 3.46, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.007155519421790456
PNL = 3811.5 Max. Drawdown = 163.94 Parameters = {'slow_ma_period': 972, 'fast_ma_period': 17, 'atr_period': 1814, 'takeprofit': 2.11, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.007101746641931769
PNL = 7750.86 Max. Drawdown = 311.29 Parameters = {'slow_ma_period': 1633, 'fast_ma_period': 32, 'atr_period': 291, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.00709663656136765
PNL = 7605.02 Max. Drawdown = 304.63 Parameters = {'slow_ma_period': 1008, 'fast_ma_period': 2, 'atr_period': 286, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.007091446633771368
PNL = 7654.3 Max. Drawdown = 306.76 Parameters = {'slow_ma_period': 1008, 'fast_ma_period': 3, 'atr_period': 287, 'takeprofit': 3.35, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.0070379768146756495
PNL = 3707.52 Max. Drawdown = 159.36 Parameters = {'slow_ma_period': 919, 'fast_ma_period': 16, 'atr_period': 1824, 'takeprofit': 2.11, 'stoploss': 2.0} Rank = 0 Crowding Distance = 0.006906897763582371
