PNL,Max_Drawdown,slow_ma_period,fast_ma_period,atr_period,takeprofit,stoploss
26645563.09,0.0, 609, 6, 692, 41.27, 9.73
26637990.51,0.0, 606, 3, 698, 41.27, 9.73
26631967.3,0.0, 612, 5, 690, 41.25, 9.72
26629419.93,0.0, 606, 3, 698, 41.37, 9.77
26629012.21,0.0, 609, 6, 692, 41.29, 9.74
26628081.06,0.0, 612, 5, 690, 41.3, 9.74
26623476.56,0.0, 609, 6, 692, 41.37, 9.77
26623476.56,0.0, 610, 5, 692, 41.37, 9.77
26617117.65,0.0, 606, 3, 698, 41.34, 9.76
26615489.6,0.0, 612, 5, 690, 41.27, 9.73
26611150.77,0.0, 609, 6, 692, 41.34, 9.76
26611150.77,0.0, 610, 5, 692, 41.34, 9.76
26594783.8,0.0, 612, 5, 690, 41.34, 9.76
26593370.07,0.0, 612, 5, 690, 41.37, 9.77
26587262.44,0.0, 609, 6, 692, 41.25, 9.73
26587262.44,0.0, 610, 5, 692, 41.25, 9.73
26583298.39,0.0, 610, 5, 692, 41.3, 9.75
26583298.39,0.0, 609, 6, 692, 41.3, 9.75
26579682.22,0.0, 606, 3, 698, 41.25, 9.73
26575617.42,0.0, 606, 3, 698, 41.3, 9.75
26570769.05,0.0, 610, 5, 692, 41.27, 9.74
26570769.05,0.0, 609, 6, 692, 41.27, 9.74
26563136.6,0.0, 606, 3, 698, 41.27, 9.74
26557259.71,0.0, 612, 5, 690, 41.25, 9.73
26553292.86,0.0, 612, 5, 690, 41.3, 9.75
26548892.36,0.0, 610, 5, 692, 41.16, 9.7
26548892.36,0.0, 609, 6, 692, 41.16, 9.7
26542184.78,0.0, 606, 3, 698, 41.34, 9.77
26540782.54,0.0, 612, 5, 690, 41.27, 9.74
26537611.91,0.0, 610, 5, 692, 41.31, 9.76
26536297.03,0.0, 609, 6, 692, 41.34, 9.77
26536297.03,0.0, 610, 5, 692, 41.34, 9.77
26524248.61,0.0, 612, 5, 690, 41.29, 9.75
26519997.43,0.0, 612, 5, 690, 41.34, 9.77
26519776.04,0.0, 610, 5, 692, 41.15, 9.7
26519776.04,0.0, 609, 6, 692, 41.15, 9.7
26512632.05,0.0, 609, 6, 692, 41.25, 9.74
26512632.05,0.0, 610, 5, 692, 41.25, 9.74
26508587.64,0.0, 610, 5, 692, 41.3, 9.76
26508587.64,0.0, 609, 6, 692, 41.3, 9.76
26500847.26,0.0, 606, 3, 698, 41.3, 9.76
26496139.27,0.0, 609, 6, 692, 41.27, 9.75
26496139.27,0.0, 610, 5, 692, 41.27, 9.75
26489866.5,0.0, 612, 5, 690, 41.15, 9.7
26488447.33,0.0, 606, 3, 698, 41.27, 9.75
26478668.97,0.0, 612, 5, 690, 41.3, 9.76
26474506.18,0.0, 610, 5, 692, 41.16, 9.71
26474506.18,0.0, 609, 6, 692, 41.16, 9.71
26467010.94,0.0, 606, 3, 698, 41.16, 9.71
26466239.53,0.0, 612, 5, 690, 41.27, 9.75
26462983.8,0.0, 610, 5, 692, 41.31, 9.77
26461623.2,0.0, 609, 6, 692, 41.13, 9.7
26461623.2,0.0, 610, 5, 692, 41.13, 9.7
26445471.44,0.0, 610, 5, 692, 41.15, 9.71
26445471.44,0.0, 609, 6, 692, 41.15, 9.71
26444647.81,0.0, 612, 5, 690, 41.16, 9.71
26438165.56,0.0, 610, 5, 692, 41.25, 9.75
26438165.56,0.0, 609, 6, 692, 41.25, 9.75
26437972.33,0.0, 606, 3, 698, 41.15, 9.71
26434041.16,0.0, 610, 5, 692, 41.3, 9.77
26434041.16,0.0, 609, 6, 692, 41.3, 9.77
26432586.64,0.0, 609, 6, 692, 41.12, 9.7
26432586.64,0.0, 610, 5, 692, 41.12, 9.7
26431784.2,0.0, 612, 5, 690, 41.13, 9.7
26430466.37,0.0, 606, 3, 698, 41.25, 9.75
26426241.71,0.0, 606, 3, 698, 41.3, 9.77
26421673.48,0.0, 609, 6, 692, 41.27, 9.76
26421673.48,0.0, 610, 5, 692, 41.27, 9.76
26415648.29,0.0, 612, 5, 690, 41.15, 9.71
26413922.41,0.0, 606, 3, 698, 41.27, 9.76
26408336.17,0.0, 612, 5, 690, 41.25, 9.75
26404209.13,0.0, 612, 5, 690, 41.3, 9.77
26402782.86,0.0, 612, 5, 690, 41.12, 9.7
26400283.11,0.0, 609, 6, 692, 41.16, 9.72
26392728.36,0.0, 606, 3, 698, 41.16, 9.72
26391860.29,0.0, 612, 5, 690, 41.27, 9.76
26387481.53,0.0, 610, 5, 692, 41.13, 9.71
26387481.53,0.0, 609, 6, 692, 41.13, 9.71
26379974.74,0.0, 606, 3, 698, 41.13, 9.71
26378311.14,0.0, 612, 3, 692, 41.48, 9.7
26375327.95,0.0, 612, 5, 690, 41.29, 9.77
26371329.77,0.0, 610, 5, 692, 41.15, 9.72
26371329.77,0.0, 609, 6, 692, 41.15, 9.72
26364347.7,0.0, 606, 3, 698, 41.12, 9.71
26363862.71,0.0, 610, 5, 692, 41.25, 9.76
26363862.71,0.0, 609, 6, 692, 41.25, 9.76
26363771.26,0.0, 606, 3, 698, 41.15, 9.72
26358526.33,0.0, 610, 5, 692, 41.12, 9.71
26358526.33,0.0, 609, 6, 692, 41.12, 9.71
26357728.72,0.0, 612, 5, 690, 41.13, 9.71
26356104.59,0.0, 606, 3, 698, 41.25, 9.76
26348437.58,0.0, 614, 3, 690, 41.48, 9.7
26347371.41,0.0, 609, 6, 692, 41.27, 9.77
26347371.41,0.0, 610, 5, 692, 41.27, 9.77
26345636.19,0.0, 609, 6, 692, 41.09, 9.7
26345636.19,0.0, 610, 5, 692, 41.09, 9.7
26341592.8,0.0, 612, 5, 690, 41.15, 9.72
